APN,Longitude,Latitude,Name,Address,Community,ConstructionType,HousingType,HCIDLA_Funded,Leverage,TECB,TDC,Photo
5208019043,-118.2012227,34.08173826,Lexington Apartments A/B,3035 N Sierra St Ca 90031,LINCOLN HEIGHTS,Rehab,Family,0,6771719,10247566,17019285,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5205012007,-118.2191513,34.08031953,Camino Al Oro,330 W Avenue 26 Ca 90031,LINCOLN HEIGHTS,New Construction,Seniors,681735,13128422,0,13810157,http://hcidapp.lacity.org/mpphotos/060021/Photo/Website/CD%201%20-%20Camino%20Al%20Oro.jpg
5205012008,-118.2195004,34.07925183,Tesoro Del Valle,2301 N Humboldt St Ca 90031,LINCOLN HEIGHTS,New Construction,Large Family / Waiver Required,936022,20075651,0,21011673,http://hcidapp.lacity.org/mpphotos/060022/Photo/Website/CD%201%20-%20Tesoro%20Del%20Valle%20-%20060022.jpg
5211007052,-118.2044559,34.07183535,Manitou Vistas I,"3414 E Manitou Ave  Los Angeles, Ca 90031",LINCOLN HEIGHTS,New Construction,Family,2749622,20163903,0,22913525,http://hcidapp.lacity.org/mpphotos/060060/Photo/Website/CD%201%20-%20Manitou%20Vistas.jpg
5210008030,-118.2130529,34.06411297,Sichel Family Apartments,1805 N Sichel St 1-37 Ca 90031,LINCOLN HEIGHTS,New Construction,Family,2877300,11028167,0,13905467,http://hcidapp.lacity.org/mpphotos/060083/Photo/Website/sichel1805sichel1of211308%20cropped.png
5211007052,-118.2044559,34.07183535,Manitou Vistas Ii,"3416 E Manitou Ave  Los Angeles, Ca 90031",LINCOLN HEIGHTS,New Construction,Family,1519500,8845275,0,10364775,http://hcidapp.lacity.org/mpphotos/070026/Photo/Website/CD%201%20-%20Manitou%20Vistas%20II%20-%20070026.JPG
5211012020,-118.2000016,34.07212662,Eecbg - Mission Plaza Apartments,2250 N Parkside Ave Ca 90031,LINCOLN HEIGHTS,N/A,N/A,500000,0,0,500000,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5446025013,-118.2135412,34.08726426,Marmion Way Apartments,3500 N Marmion Way Ca 90065,LINCOLN HEIGHTS,New Construction,Special Needs / Homeless Vets,4333928,16387727,0,20721655,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5147007020,-118.2433558,34.04473154,Downtown Women'S Center,434 S San Pedro St Ca 90013,DOWNTOWN,Rehab,Special Needs / Homeless,4847914,20062930,0,24910844,http://hcidapp.lacity.org/mpphotos/080058/Photo/Website/080058.JPG
5161025013,-118.2441328,34.04891399,Eecbg - Casa Heiwa,231 E 3Rd St Ca 90012,DOWNTOWN,Rehab,Family,709620,14126125,0,14835745,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5161012014,-118.2403398,34.05075577,Eecbg - San Pedro Firm Building,"110 San Pedro St  Los Angeles, Ca 90012",DOWNTOWN,Rehab,Family,475931,1935000,0,2410931,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5589034026,-118.2985231,34.10359702,Concord Apartments (Grp. A & B) (Site 4),1801 N Alexandria Ave Ca 90027,LOS FELIZ,Rehab,Family,0,7334438,8579256,15913694,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5535002026,-118.3155889,34.08528239,Royals Apartments (Site 2),772 N Van Ness Ave Ca 90038,HOLLYWOOD,Rehab,Family,1100000,13039479,0,14139479,http://hcidapp.lacity.org/mpphotos/040067/Photo/Website%20Site2/royalsvanness772vannes315072of6(PNG).png
5536021016,-118.310151,34.08942552,Leeward Apts. (Site 5),5426 W Sierra Vista Ave Ca 90038,HOLLYWOOD,Rehab,Family,0,7103994,10208936,17312930,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
5521006019,-118.3035594,34.08315394,Lexington Apartments A/B (Site 2),649 N Kingsley Dr Ca 90004,EAST HOLLYWOOD,Rehab,Family,0,6771719,10247566,17019285,http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png
